picture_height,payment_MLATB,condition,sold_quantity,available_quantity,automatic_relist,title_length,picture_width,listing_type_id,payment_MLAOT,shipping_mode_binary
375.0,1,1,0,1,0,60,500.0,bronze,0,0
334.0,1,0,0,1,0,57,499.0,silver,0,1
500.0,1,0,0,1,0,43,375.0,bronze,1,1
423.0,1,1,0,1,0,52,441.0,silver,1,1
500.0,1,0,0,1,0,25,375.0,bronze,0,0
250.0,1,1,0,1,0,41,250.0,bronze,1,0
375.0,0,0,0,1,0,44,500.0,free,0,1
375.0,1,0,0,1,0,52,500.0,free,0,0
500.0,0,1,0,10,1,54,500.0,gold_special,1,1
500.0,0,1,1,1,0,39,375.0,silver,0,1
316.0,0,1,1,99,0,45,500.0,bronze,0,0
375.0,0,1,1,1,0,56,500.0,free,0,1
355.0,1,0,1,1,0,37,500.0,free,0,0
500.0,1,1,0,1,0,16,281.0,bronze,1,0
500.0,0,1,0,1,0,60,375.0,bronze,0,1
331.0,0,1,4,1,0,35,500.0,bronze,0,1
375.0,0,0,0,1,0,29,500.0,bronze,0,0
375.0,0,0,0,1,0,23,500.0,free,0,0
375.0,0,1,0,1,0,52,500.0,bronze,0,0
319.0,1,1,1,1,0,35,425.0,bronze,0,0
375.0,1,0,0,1,0,60,500.0,free,0,1
253.0,0,1,0,1,0,44,175.0,bronze,0,1
250.0,0,1,0,1,0,27,184.0,bronze,0,0
281.0,0,0,0,1,0,55,500.0,bronze,0,0
321.0,1,1,0,1,0,37,327.0,free,1,0
500.0,1,0,0,1,0,59,314.0,bronze,1,1
500.0,1,0,0,1,0,54,337.0,bronze,1,1
500.0,1,0,0,1,0,30,333.0,bronze,0,1
359.0,0,0,0,1,0,38,279.0,bronze,0,1
500.0,1,1,2,4,0,52,342.0,bronze,1,1
500.0,1,1,2,4,0,52,342.0,bronze,1,1
500.0,1,1,2,4,0,52,342.0,bronze,1,1
500.0,1,0,0,1,0,60,333.0,bronze,1,0
500.0,1,1,1,1,0,35,358.0,bronze,1,1
384.0,0,1,0,5,0,40,500.0,silver,1,0
375.0,0,1,0,1,0,34,500.0,bronze,0,1
375.0,0,0,0,1,0,29,500.0,bronze,0,1
332.0,1,1,18,2,0,58,243.0,silver,0,1
